,Eval_T0,Eval_T1,Eval_T2
Train_T0,0.38718783302352866,0.0,0.0
Train_T1,0.43432361759556604,0.1632901864059337,0.0
Train_T2,0.43526084746846755,0.1635479262406388,0.4691789260548627
