,Eval_T0,Eval_T1,Eval_T2,Eval_T3
Train_T0,0.3178044985826079,0.0,0.0,0.0
Train_T1,0.3573370043272759,0.64758811754933,0.0,0.0
Train_T2,0.34077019928368757,0.49431919909557814,0.5334671776080175,0.0
Train_T3,0.27371938754206876,0.4236842360120469,0.47748177036227935,
