,Eval_T0,Eval_T1,Eval_T2
Train_T0,0.42980686950216307,0.0,0.0
Train_T1,0.39230427106060206,0.5571885571077168,0.0
Train_T2,0.36627792391002695,0.55566026425806,0.7812196976437449
